base_currency,target_currency,rate,as_of
USD,AUD,1.4337,2026-07-17
USD,BRL,5.1158,2026-07-17
USD,CAD,1.4023,2026-07-17
USD,CHF,0.807,2026-07-17
USD,CNY,6.7775,2026-07-17
USD,CZK,21.167,2026-07-17
USD,DKK,6.5375,2026-07-17
USD,EUR,0.87451,2026-07-17
USD,GBP,0.74419,2026-07-17
USD,HKD,7.8402,2026-07-17
USD,HUF,317.91,2026-07-17
USD,IDR,17945,2026-07-17
USD,ILS,3.047,2026-07-17
USD,INR,96.28,2026-07-17
USD,ISK,125.4,2026-07-17
USD,JPY,162.35,2026-07-17
USD,KRW,1485.32,2026-07-17
USD,MXN,17.4837,2026-07-17
USD,MYR,4.095,2026-07-17
USD,NOK,9.6537,2026-07-17
USD,NZD,1.7148,2026-07-17
USD,PHP,61.601,2026-07-17
USD,PLN,3.8017,2026-07-17
USD,RON,4.5829,2026-07-17
USD,SEK,9.655,2026-07-17
USD,SGD,1.2912,2026-07-17
USD,THB,33.635,2026-07-17
USD,TRY,47.142,2026-07-17
USD,ZAR,16.5079,2026-07-17
