country_code,country_name,capital,region,subregion,population,area_km2,currency
AFG,Afghanistan,Kabul,Asia,Southern Asia,,,AFN
ALA,Åland Islands,Mariehamn,Europe,Northern Europe,,,EUR
ALB,Albania,Tirana,Europe,Southern Europe,,,ALL
DZA,Algeria,Algiers,Africa,Northern Africa,,,DZD
ASM,American Samoa,Pago Pago,Oceania,Polynesia,,,USD
AND,Andorra,Andorra la Vella,Europe,Southern Europe,,,EUR
AGO,Angola,Luanda,Africa,Sub-Saharan Africa,,,AOA
AIA,Anguilla,The Valley,Americas,Latin America and the Caribbean,,,XCD
ATA,Antarctica,,,,,,
ATG,Antigua & Barbuda,St. John's,Americas,Latin America and the Caribbean,,,XCD
ARG,Argentina,Buenos Aires,Americas,Latin America and the Caribbean,,,ARS
ARM,Armenia,Yerevan,Asia,Western Asia,,,AMD
ABW,Aruba,Oranjestad,Americas,Latin America and the Caribbean,,,AWG
AUS,Australia,Canberra,Oceania,Australia and New Zealand,,,AUD
AUT,Austria,Vienna,Europe,Western Europe,,,EUR
AZE,Azerbaijan,Baku,Asia,Western Asia,,,AZN
BHS,Bahamas,Nassau,Americas,Latin America and the Caribbean,,,BSD
BHR,Bahrain,Manama,Asia,Western Asia,,,BHD
BGD,Bangladesh,Dhaka,Asia,Southern Asia,,,BDT
BRB,Barbados,Bridgetown,Americas,Latin America and the Caribbean,,,BBD
BLR,Belarus,Minsk,Europe,Eastern Europe,,,BYN
BEL,Belgium,Brussels,Europe,Western Europe,,,EUR
BLZ,Belize,Belmopan,Americas,Latin America and the Caribbean,,,BZD
BEN,Benin,Porto-Novo,Africa,Sub-Saharan Africa,,,XOF
BMU,Bermuda,Hamilton,Americas,Northern America,,,BMD
BTN,Bhutan,Thimphu,Asia,Southern Asia,,,"INR,BTN"
BOL,Bolivia,Sucre,Americas,Latin America and the Caribbean,,,BOB
BES,Caribbean Netherlands,,Americas,Latin America and the Caribbean,,,USD
BIH,Bosnia,Sarajevo,Europe,Southern Europe,,,BAM
BWA,Botswana,Gaborone,Africa,Sub-Saharan Africa,,,BWP
BVT,Bouvet Island,,Americas,Latin America and the Caribbean,,,NOK
BRA,Brazil,Brasilia,Americas,Latin America and the Caribbean,,,BRL
IOT,British Indian Ocean Territory,Diego Garcia,Africa,Sub-Saharan Africa,,,USD
VGB,British Virgin Islands,Road Town,Americas,Latin America and the Caribbean,,,USD
BRN,Brunei,Bandar Seri Begawan,Asia,South-eastern Asia,,,BND
BGR,Bulgaria,Sofia,Europe,Eastern Europe,,,EUR
BFA,Burkina Faso,Ouagadougou,Africa,Sub-Saharan Africa,,,XOF
BDI,Burundi,Gitega,Africa,Sub-Saharan Africa,,,BIF
CPV,Cape Verde,Praia,Africa,Sub-Saharan Africa,,,CVE
KHM,Cambodia,Phnom Penh,Asia,South-eastern Asia,,,KHR
CMR,Cameroon,Yaounde,Africa,Sub-Saharan Africa,,,XAF
CAN,Canada,Ottawa,Americas,Northern America,,,CAD
CYM,Cayman Islands,George Town,Americas,Latin America and the Caribbean,,,KYD
CAF,Central African Republic,Bangui,Africa,Sub-Saharan Africa,,,XAF
TCD,Chad,N'Djamena,Africa,Sub-Saharan Africa,,,XAF
CHL,Chile,Santiago,Americas,Latin America and the Caribbean,,,CLP
CHN,China,Beijing,Asia,Eastern Asia,,,CNY
HKG,Hong Kong,Hong Kong,Asia,Eastern Asia,,,HKD
MAC,Macao,Macao,Asia,Eastern Asia,,,MOP
CXR,Christmas Island,Flying Fish Cove,Oceania,Australia and New Zealand,,,AUD
CCK,Cocos Islands,West Island,Oceania,Australia and New Zealand,,,AUD
COL,Colombia,Bogota,Americas,Latin America and the Caribbean,,,COP
COM,Comoros,Moroni,Africa,Sub-Saharan Africa,,,KMF
COG,Congo - Brazzaville,Brazzaville,Africa,Sub-Saharan Africa,,,XAF
